,alumnus,organisation,place,country
387,Christoffer Åberg,University of Groningen,Groningen,Netherlands
388,Jan Bosch,University of Groningen,Groningen,Netherlands
389,Janne Carlsson,Royal Institute of Technology,Stockholm Municipality,Sweden
390,Olle Bälter,Royal Institute of Technology,Stockholm Municipality,Sweden
391,Jan-Erling Bäckvall,Royal Institute of Technology,Stockholm Municipality,Sweden
392,Gösta Bystedt,Royal Institute of Technology,Stockholm Municipality,Sweden
393,Janis Bubenko,Royal Institute of Technology,Stockholm Municipality,Sweden
394,Gunnar Brodin,Royal Institute of Technology,Stockholm Municipality,Sweden
395,Bertil Agdur,Royal Institute of Technology,Stockholm Municipality,Sweden
396,Sverker Sörlin,Royal Institute of Technology,Stockholm Municipality,Sweden
397,Rolf Carlson,Royal Institute of Technology,Stockholm Municipality,Sweden
398,Björn Granström,Royal Institute of Technology,Stockholm Municipality,Sweden
399,Hedvig Kjellström,Royal Institute of Technology,Stockholm Municipality,Sweden
400,Gustaf Robert Dahlander,Royal Institute of Technology,Stockholm Municipality,Sweden
401,Lars Erik Zachrisson,Royal Institute of Technology,Stockholm Municipality,Sweden
402,Ragnar Woxén,Royal Institute of Technology,Stockholm Municipality,Sweden
403,Torbjörn Westermark,Royal Institute of Technology,Stockholm Municipality,Sweden
404,Hans Werthén,Royal Institute of Technology,Stockholm Municipality,Sweden
405,Gunnar Wallquist,Royal Institute of Technology,Stockholm Municipality,Sweden
406,Axel Wahlberg,Royal Institute of Technology,Stockholm Municipality,Sweden
407,Oscar Tjernberg,Royal Institute of Technology,Stockholm Municipality,Sweden
408,Anders J. Thor,Royal Institute of Technology,Stockholm Municipality,Sweden
409,Lennart Stockman,Royal Institute of Technology,Stockholm Municipality,Sweden
410,Håkan Sterky,Royal Institute of Technology,Stockholm Municipality,Sweden
411,Klas Sondén,Royal Institute of Technology,Stockholm Municipality,Sweden
412,Hans Ringström,Royal Institute of Technology,Stockholm Municipality,Sweden
413,Frigyes Reisch,Royal Institute of Technology,Stockholm Municipality,Sweden
414,Alf Rehn,Royal Institute of Technology,Stockholm Municipality,Sweden
415,Magnus Oledal,Royal Institute of Technology,Stockholm Municipality,Sweden
416,Pål Nyrén,Royal Institute of Technology,Stockholm Municipality,Sweden
417,Anders Norén,Royal Institute of Technology,Stockholm Municipality,Sweden
418,Björn Nilsson,Royal Institute of Technology,Stockholm Municipality,Sweden
419,Bo-Lennart Nelldal,Royal Institute of Technology,Stockholm Municipality,Sweden
420,Curt Mileikowsky,Royal Institute of Technology,Stockholm Municipality,Sweden
421,Ian Wachtmeister,Royal Institute of Technology,Stockholm Municipality,Sweden
422,Einar Mattsson,Royal Institute of Technology,Stockholm Municipality,Sweden
423,Gunnar Markesjö,Royal Institute of Technology,Stockholm Municipality,Sweden
424,Carl Jacob Magnell,Royal Institute of Technology,Stockholm Municipality,Sweden
425,Erik Löfgren,Royal Institute of Technology,Stockholm Municipality,Sweden
426,Alf Lysholm,Royal Institute of Technology,Stockholm Municipality,Sweden
427,Sten Luthander,Royal Institute of Technology,Stockholm Municipality,Sweden
428,Stig Lundquist,Royal Institute of Technology,Stockholm Municipality,Sweden
429,Nils Ljungzell,Royal Institute of Technology,Stockholm Municipality,Sweden
430,Svante Linusson,Royal Institute of Technology,Stockholm Municipality,Sweden
431,Svante Lindqvist,Royal Institute of Technology,Stockholm Municipality,Sweden
432,Tore Lindmark,Royal Institute of Technology,Stockholm Municipality,Sweden
433,Gustaf Lindgren,Royal Institute of Technology,Stockholm Municipality,Sweden
434,Bo Lehnert,Royal Institute of Technology,Stockholm Municipality,Sweden
435,Bo Kalling,Royal Institute of Technology,Stockholm Municipality,Sweden
436,Ingvar Jung,Royal Institute of Technology,Stockholm Municipality,Sweden
437,Arne Johnson,Royal Institute of Technology,Stockholm Municipality,Sweden
438,Peter Gudmundson,Royal Institute of Technology,Stockholm Municipality,Sweden
439,Erik Glemme,Royal Institute of Technology,Stockholm Municipality,Sweden
440,Erik Forslind,Royal Institute of Technology,Stockholm Municipality,Sweden
441,Henrik Kreüger,Royal Institute of Technology,Stockholm Municipality,Sweden
442,Anders Eriksson,Royal Institute of Technology,Stockholm Municipality,Sweden
443,Lennart Enebo,Royal Institute of Technology,Stockholm Municipality,Sweden
444,Rudolf S. Enblom,Royal Institute of Technology,Stockholm Municipality,Sweden
445,Jonas Eliasson,Royal Institute of Technology,Stockholm Municipality,Sweden
446,Lars Ekbom,Royal Institute of Technology,Stockholm Municipality,Sweden
447,Gunnar von Heijne,Royal Institute of Technology,Stockholm Municipality,Sweden
448,Gunnar Svedberg,Royal Institute of Technology,Stockholm Municipality,Sweden
449,Lars Bergqvist,Royal Institute of Technology,Stockholm Municipality,Sweden
450,Peter Erman,Royal Institute of Technology,Stockholm Municipality,Sweden
451,Holger Erdtman,Royal Institute of Technology,Stockholm Municipality,Sweden
452,Hans Rådström,Royal Institute of Technology,Stockholm Municipality,Sweden
453,Hanno Essén,Royal Institute of Technology,Stockholm Municipality,Sweden
454,Per Carlson,Royal Institute of Technology,Stockholm Municipality,Sweden
455,Bengt Rånby,Royal Institute of Technology,Stockholm Municipality,Sweden
456,Bengt Rosén (matematiker),Royal Institute of Technology,Stockholm Municipality,Sweden
457,Erik Widman,Royal Institute of Technology,Stockholm Municipality,Sweden
458,Lars A. Berglund,Royal Institute of Technology,Stockholm Municipality,Sweden
459,Jens Zander,Royal Institute of Technology,Stockholm Municipality,Sweden
460,Arne Kaijser,Royal Institute of Technology,Stockholm Municipality,Sweden
461,Q65273185,Royal Institute of Technology,Stockholm Municipality,Sweden
462,Gustav Nyström,Royal Institute of Technology,Stockholm Municipality,Sweden
463,Elias Odelstad,Royal Institute of Technology,Stockholm Municipality,Sweden
464,Henrik Aspeborg,Royal Institute of Technology,Stockholm Municipality,Sweden
465,Staffan Linnaeus,Royal Institute of Technology,Stockholm Municipality,Sweden
466,Erik Tengström,Royal Institute of Technology,Stockholm Municipality,Sweden
467,Linn Fagerberg,Royal Institute of Technology,Stockholm Municipality,Sweden
468,Måns Nilsson,Royal Institute of Technology,Stockholm Municipality,Sweden
469,wang yonglei,Royal Institute of Technology,Stockholm Municipality,Sweden
470,Jakob Regberg,Royal Institute of Technology,Stockholm Municipality,Sweden
471,Jonas Strandberg,Royal Institute of Technology,Stockholm Municipality,Sweden
472,Walfrid Petersson,Royal Institute of Technology,Stockholm Municipality,Sweden
473,Sven Odén,Royal Institute of Technology,Stockholm Municipality,Sweden
474,Gunnar Markesjö,Royal Institute of Technology,Stockholm Municipality,Sweden
475,Ivar Malmer,Royal Institute of Technology,Stockholm Municipality,Sweden
476,Börje Steenberg,Royal Institute of Technology,Stockholm Municipality,Sweden
477,Lars Sillén,Royal Institute of Technology,Stockholm Municipality,Sweden
478,Åke Pleijel,Royal Institute of Technology,Stockholm Municipality,Sweden
479,Lars A. Berglund,Royal Institute of Technology,Stockholm Municipality,Sweden
480,Erik Hägglund,Royal Institute of Technology,Stockholm Municipality,Sweden
481,Ulf Grenander,Royal Institute of Technology,Stockholm Municipality,Sweden
482,Egor Babaev,Royal Institute of Technology,Stockholm Municipality,Sweden
483,Sara Zahedi,Royal Institute of Technology,Stockholm Municipality,Sweden
484,Fritz Carlson,Royal Institute of Technology,Stockholm Municipality,Sweden
485,Erik Sandewall,Royal Institute of Technology,Stockholm Municipality,Sweden
486,Heinz-Otto Kreiss,Royal Institute of Technology,Stockholm Municipality,Sweden
487,Harry von Eckermann,Royal Institute of Technology,Stockholm Municipality,Sweden
488,Peter Pohl,Royal Institute of Technology,Stockholm Municipality,Sweden
489,Svante Lindqvist,Royal Institute of Technology,Stockholm Municipality,Sweden
490,Ole Lamm,Royal Institute of Technology,Stockholm Municipality,Sweden
491,Gustaf Kobb,Royal Institute of Technology,Stockholm Municipality,Sweden
492,Bo Kjellberg,Royal Institute of Technology,Stockholm Municipality,Sweden
493,Kjell Samuelson,Royal Institute of Technology,Stockholm Municipality,Sweden
494,Haakan Hedenmalm,Royal Institute of Technology,Stockholm Municipality,Sweden
495,Bo Schenkman,Royal Institute of Technology,Stockholm Municipality,Sweden
496,Elisabeth Rachlew,Royal Institute of Technology,Stockholm Municipality,Sweden
497,Mathias Uhlén,Royal Institute of Technology,Stockholm Municipality,Sweden
498,Pål Nyrén,Royal Institute of Technology,Stockholm Municipality,Sweden
499,Einar Lindholm,Royal Institute of Technology,Stockholm Municipality,Sweden
500,Jonas Linde,Royal Institute of Technology,Stockholm Municipality,Sweden
501,Karl-Erik Larsson,Royal Institute of Technology,Stockholm Municipality,Sweden
502,Jussi Karlgren,Royal Institute of Technology,Stockholm Municipality,Sweden
503,Lamek Hulthén,Royal Institute of Technology,Stockholm Municipality,Sweden
504,Ulf Hellsten,Royal Institute of Technology,Stockholm Municipality,Sweden
505,Anders Gullberg,Royal Institute of Technology,Stockholm Municipality,Sweden
506,Axel Johannes Malmquist,Royal Institute of Technology,Stockholm Municipality,Sweden
507,Hans Riesel,Royal Institute of Technology,Stockholm Municipality,Sweden
508,Anna-Karin Tornberg,Royal Institute of Technology,Stockholm Municipality,Sweden
509,Rajeev Thottappillil,Royal Institute of Technology,Stockholm Municipality,Sweden
510,Anders Björner,Royal Institute of Technology,Stockholm Municipality,Sweden
511,Germund Dahlquist,Royal Institute of Technology,Stockholm Municipality,Sweden
512,Mats Ericson,Royal Institute of Technology,Stockholm Municipality,Sweden
513,Kurt Johansson,Royal Institute of Technology,Stockholm Municipality,Sweden
514,E. Ingelstam,Royal Institute of Technology,Stockholm Municipality,Sweden
515,Lars Holst,Royal Institute of Technology,Stockholm Municipality,Sweden
516,Hjalmar Holmgren,Royal Institute of Technology,Stockholm Municipality,Sweden
517,Sven Ove Hansson,Royal Institute of Technology,Stockholm Municipality,Sweden
518,Karl Henrik Johansson,Royal Institute of Technology,Stockholm Municipality,Sweden
519,Felix Ryde,Royal Institute of Technology,Stockholm Municipality,Sweden
520,Rakel Wreland Lindström,Royal Institute of Technology,Stockholm Municipality,Sweden
521,Peter Stilbs,Royal Institute of Technology,Stockholm Municipality,Sweden
522,Olof Ramström,Royal Institute of Technology,Stockholm Municipality,Sweden
523,Waloddi Weibull,Royal Institute of Technology,Stockholm Municipality,Sweden
524,Hanna Betts Lindroos,Royal Institute of Technology,Stockholm Municipality,Sweden
525,Lars Johan Wallmark,Royal Institute of Technology,Stockholm Municipality,Sweden
526,Janne Wallenius,Royal Institute of Technology,Stockholm Municipality,Sweden
527,Johan Sundberg,Royal Institute of Technology,Stockholm Municipality,Sweden
528,Yuning Zhang,Royal Institute of Technology,Stockholm Municipality,Sweden
529,Per Enflo,Royal Institute of Technology,Stockholm Municipality,Sweden
530,Christer Fuglesang,Royal Institute of Technology,Stockholm Municipality,Sweden
531,Helge von Koch,Royal Institute of Technology,Stockholm Municipality,Sweden
532,Kai Siegbahn,Royal Institute of Technology,Stockholm Municipality,Sweden
533,Ivar Otto Bendixson,Royal Institute of Technology,Stockholm Municipality,Sweden
534,Johan Håstad,Royal Institute of Technology,Stockholm Municipality,Sweden
535,Per Sjölin,Royal Institute of Technology,Stockholm Municipality,Sweden
536,Carl Arendt Ångström,Royal Institute of Technology,Stockholm Municipality,Sweden
537,Lars Erik Zachrisson,Royal Institute of Technology,Stockholm Municipality,Sweden
538,Arvid Lindström,Royal Institute of Technology,Stockholm Municipality,Sweden
539,Ivar Malmer,Royal Institute of Technology,Stockholm Municipality,Sweden
540,Peter Klason,Royal Institute of Technology,Stockholm Municipality,Sweden
541,Lars Holst,Royal Institute of Technology,Stockholm Municipality,Sweden
542,Hans Hertz,Royal Institute of Technology,Stockholm Municipality,Sweden
543,Sven Ove Hansson,Royal Institute of Technology,Stockholm Municipality,Sweden
544,Carl-Gustav Esseen,Royal Institute of Technology,Stockholm Municipality,Sweden
545,Björn Engquist,Royal Institute of Technology,Stockholm Municipality,Sweden
546,Hilding Faxén,Royal Institute of Technology,Stockholm Municipality,Sweden
547,Adolf Eriksson,Royal Institute of Technology,Stockholm Municipality,Sweden
548,Martin Malmsten,Royal Institute of Technology,Stockholm Municipality,Sweden
549,Ulf Grenander,Royal Institute of Technology,Stockholm Municipality,Sweden
550,Fredrik Laurentz Ekman,Royal Institute of Technology,Stockholm Municipality,Sweden
551,Sigvard Arne Eklund,Royal Institute of Technology,Stockholm Municipality,Sweden
552,Gudmund Borelius,Royal Institute of Technology,Stockholm Municipality,Sweden
553,David Enskog,Royal Institute of Technology,Stockholm Municipality,Sweden
554,Lennart Carleson,Royal Institute of Technology,Stockholm Municipality,Sweden
555,Erik Edlund,Royal Institute of Technology,Stockholm Municipality,Sweden
556,Helge von Koch,Royal Institute of Technology,Stockholm Municipality,Sweden
557,Kai Siegbahn,Royal Institute of Technology,Stockholm Municipality,Sweden
558,Ivar Otto Bendixson,Royal Institute of Technology,Stockholm Municipality,Sweden
559,Johan Håstad,Royal Institute of Technology,Stockholm Municipality,Sweden
560,Hannes Alfvén,Royal Institute of Technology,Stockholm Municipality,Sweden
561,Göran Andersson,Royal Institute of Technology,Stockholm Municipality,Sweden
562,Arne Kaijser,Royal Institute of Technology,Stockholm Municipality,Sweden
563,Anders Lindstedt,Royal Institute of Technology,Stockholm Municipality,Sweden
564,K. Anders Ericsson,Florida State University,Tallahassee,United States of America
565,Bahar Baser,University of Warwick,Coventry,United Kingdom
566,Halina Rubinsztein-Dunlop,University of Queensland,Brisbane,Australia
567,Johan Israel Näslund,Diocese of Härnösand,Sweden,Sweden
568,Carl Gustaf Näslund,Diocese of Härnösand,Sweden,Sweden
569,Daniel Birnbaum,Städelschule,Frankfurt am Main,Germany
570,Solveig Felton,Queen's University Belfast,Belfast,United Kingdom
571,Rubina Kotak,Queen's University Belfast,Belfast,United Kingdom
572,Belisário Moiane,Eduardo Mondlane University,Maputo,Mozambique
