,alumnus,place,country,university
5035,Enok Bjelle,,,Swedish University of Agricultural Sciences
5036,Annika Koldenius,,,Örebro University
5037,Annika Koldenius,,,University of Gothenburg
5038,Johan Palmfelt,,,Uppsala University
5039,Curt Lidgard,,,Lund University
5040,Gösta Rodhe,,,Karolinska Institute
5041,Anders Strålman,,,University of Gothenburg
5042,Åke Temnerud,,,Chalmers University of Technology
5043,Staffan I. Lindberg,,,Lund University
5044,Nils-Lennart Johannesson,,,Stockholm University
5045,Ragnar Stefánsson,,,Uppsala University
5046,Malena Mård,,,Uppsala University
5047,Rhoda Kadalie,,,Uppsala University
5048,Ewa Balicka-Witakowska,,,Uppsala University
5049,Ray Mauritsson,,,Lund University
5050,Carl Johan Johanson,,,Uppsala University
5051,Nils Banér,,,Lund University
5052,Mauritz Krook,,,Lund University
5053,Gunnar Th:son Pihl,,,Uppsala University
5054,Karl Anders Alexanderson,,,Royal Institute of Technology
5055,Rolf Torstendahl,,,Uppsala University
5056,Kristina Berglund,,,Royal Institute of Technology
5057,Hjalmar Bergman,,,Royal Institute of Technology
5058,Bo Bergquist,,,Chalmers University of Technology
5059,Göran Bergquist,,,Royal Institute of Technology
5060,Lennart Axel Bergström,,,Royal Institute of Technology
5061,Christer Karlsson,,,Chalmers University of Technology
5062,Lars-Erik Havstad,,,Royal Institute of Technology
5063,Anders Lagergren,,,Uppsala University
5064,Göran Gademan,,,Stockholm University
5065,Mattias Forshage,,,Swedish University of Agricultural Sciences
5066,Mattias Forshage,,,Stockholm University
5067,Mattias Forshage,,,Uppsala University
5068,Lisa Månsson,,,Karolinska Institute
5069,Lisa Månsson,,,Uppsala University
5070,Gösta Nilsson,,,Royal Institute of Technology
5071,Jonny Holmstrom,,,Umeå University
5072,Santiago Castroviejo-Fisher,,,Uppsala University
5073,Nils G. Lundqvist,,,Uppsala University
5074,Hanna Hartman,,,Stockholm University
5075,Åke Porne,,,Royal Institute of Technology
5076,Rudolf Holmgren,,,Royal Institute of Technology
5077,Gunnel Gustafsson,,,Umeå University
5078,Ericka Sue Johnson,,,Linköping University
5079,Jan Weslien,,,Swedish University of Agricultural Sciences
5080,Robert Jay Charlson,,,Stockholm University
5081,David Fenyő,,,Uppsala University
5082,Jawahar L. Mehta,,,Uppsala University
5083,Göran Andolf,,,Uppsala University
5084,Jan Stefenson,,,Royal Institute of Technology
5085,Victor Malm,,,Lund University
5086,Linus Tolke,,,Linköping University
5087,Thomas Lindh,,,Uppsala University
5088,Jonas Johansson Dryander,,,Uppsala University
5089,Lily Benson,,,Lund University
5090,Robert Larsson,,,Royal Institute of Technology
5091,Jan M. Passer,,,Stockholm University
5092,Ali Ghodsi,,,Royal Institute of Technology
5093,Juha Merilä,,,Uppsala University
5094,Peter Skands,,,Lund University
5095,Amy Marjorie Dale,,,Lund University
5096,Ernst Hirsch,,,Royal Institute of Technology
5097,Joakim Edsjö,,,Uppsala University
5098,Rasigan Maharajh,,,Lund University
5099,Per-Olof Glantz,,,Lund University
5100,Berth Danermark,,,Uppsala University
5101,Jan Ainali,,,Karlstad University
5102,Sverker Johansson,,,Karolinska Institute
5103,Anders Eka,,,Uppsala University
5104,Bengt Oreström,,,Lund University
5105,Petter Asp,,,Uppsala University
5106,Åsa Lindhagen,,,Linköping University
5107,Åsa Lindhagen,,,Uppsala University
5108,Johannes Knutsson,,,Stockholm University
5109,Farangis Nurulla-Khoja,,,University of Gothenburg
5110,Klas Nyberg,,,Uppsala University
5111,Karin Dahlman-Wright,,,Chalmers University of Technology
5112,Karolina Nolin,,,Karlstad University
5113,Lena Berggren,,,Umeå University
5114,Pietro Raffone,,,Chalmers University of Technology
5115,Ann Krumlinde Hyléen,,,Linköping University
5116,Helene Karlsson,,,Uppsala University
5117,Per Skjöldebrand,,,Örebro University
5118,Rickard Gustafson,,,Linköping University
5119,Beata Losman,,,University of Gothenburg
5120,Elsa-Brita Stjernberg,,,Chalmers University of Technology
5121,Hans Berlin,,,Chalmers University of Technology
5122,Sven-Olof Berlin,,,Stockholm University
5123,Sven-Olof Berlin,,,Uppsala University
5124,Lennart Nilsson,,,Chalmers University of Technology
5125,Anna Söderblom,,,Stockholm University
5126,Anna Söderblom,,,Lund University
5127,Sven Persson,,,Royal Institute of Technology
5128,Sven Persson,,,Uppsala University
5129,Jacob Eldstierna,,,Uppsala University
5130,Jackson Orem,,,Karolinska Institute
5131,Nils Brage Nordlander,,,Stockholm University
5132,Nils Brage Nordlander,,,Uppsala University
5133,Hans Löfsten,,,University of Gothenburg
5134,Claes Knutson,,,Royal Institute of Technology
5135,Martin Alsander,,,Lund University
5136,Q24836686,,,Uppsala University
5137,Margrete Soug Kåset,,,Stockholm University
5138,Q25434594,,,Lund University
5139,Sven Adolf Brandel,,,Lund University
5140,Eric Sverne,,,Lund University
5141,Maria Knutson Wedel,,,Chalmers University of Technology
5142,Simone Fischer-Hübner,,,Karlstad University
5143,Louise Olsson,,,Chalmers University of Technology
5144,Elisabeth Isaksson,,,Umeå University
5145,Elisabeth Isaksson,,,Stockholm University
5146,Johan Cronhielm,,,Uppsala University
5147,Erik Säll,,,Uppsala University
5148,Julian Macoveanu,,,Linköping University
5149,Julian Macoveanu,,,Stockholm University
5150,Julian Macoveanu,,,Karolinska Institute
5151,Mattias Kuldkepp,,,Royal Institute of Technology
5152,Staffan Persson (entrepreneur),,,Umeå University
5153,Folke Ryde,,,Lund University
5154,Roshi Motman,,,Chalmers University of Technology
5155,Danuta Fjellestad,,,Stockholm University
5156,Felix Ryde,,,Lund University
5157,Helene Ahl,,,Lund University
5158,Nils G. Brink,,,Royal Institute of Technology
5159,Gunnar Färjare,,,Royal Institute of Technology
5160,Nils-Olov Hasslev,,,Lund University
5161,Marjorie Harness Goodwin,,,Uppsala University
5162,Denis Sundberg,,,Royal Institute of Technology
5163,Samuel Fränne,,,Royal Institute of Technology
5164,Harald de Shàrengrad,,,Royal Institute of Technology
5165,Seth Fridén,,,Royal Institute of Technology
5166,Henric Nordlund,,,Chalmers University of Technology
5167,Gunnar Gräslund,,,Royal Institute of Technology
5168,Börje Wehlin,,,Royal Institute of Technology
5169,Bo Gustafson,,,Chalmers University of Technology
5170,Fredrik Elgh,,,Umeå University
5171,Nils Lönnroth,,,Royal Institute of Technology
5172,Sten Fredriksson,,,Royal Institute of Technology
5173,Olle Stål,,,Royal Institute of Technology
5174,Sim Tiseus,,,Chalmers University of Technology
5175,Bo Cederlöf,,,Chalmers University of Technology
5176,Krister Bykvist,,,Uppsala University
5177,Karim Jebari,,,Royal Institute of Technology
5178,Frithiof Hörlin,,,Royal Institute of Technology
5179,Erik Bromander,,,Stockholm University
5180,Ulf Glimstedt,,,Chalmers University of Technology
5181,Einar Wikander,,,Chalmers University of Technology
5182,Fredrik Högberg,,,Luleå University of Technology
5183,Lars-Erik Svahn,,,Royal Institute of Technology
5184,Mauritz Hansson,,,Chalmers University of Technology
5185,Sven Lavemark,,,Chalmers University of Technology
5186,Robert Magnusson,,,Chalmers University of Technology
5187,Hugo Wistrand,,,Uppsala University
5188,Eva Blomqvist,,,Linköping University
5189,Pastor Bengtsson,,,Lund University
5190,Hreinn Stefansson,,,Lund University
5191,Erik Bökman,,,Uppsala University
5192,Leif Larsson,,,Chalmers University of Technology
5193,Sven Erik Kulldorff,,,Royal Institute of Technology
5194,Britt Hansson,,,Örebro University
5195,Britt Hansson,,,Stockholm University
5196,Isak Johan Quensel,,,Lund University
5197,Birgitta Henriques-Normark,,,Karolinska Institute
5198,Ylva Lindqvist,,,Swedish University of Agricultural Sciences
5199,Ann-Sofie Jemth,,,Uppsala University
5200,Henrik Grönberg,,,Umeå University
5201,Erik Modin,,,Uppsala University
5202,Andreas Sjödin,,,Umeå University
5203,Hanna L. Karlsson,,,Karolinska Institute
5204,Torsten Holm,,,Royal Institute of Technology
5205,Jari Koskela,,,Uppsala University
5206,Mikael Degermark,,,Luleå University of Technology
5207,Ove Edfors,,,Luleå University of Technology
5208,Stig Lindgren,,,Chalmers University of Technology
5209,Pontus Skoglund,,,Umeå University
5210,Julie Lund,,,Lund University
5211,Kristina Hanspers,,,Uppsala University
5212,Soniya Nityanand,,,Karolinska Institute
5213,Marika Wachtmeister,,,Lund University
5214,Bengt O. Muthén,,,Uppsala University
5215,Jacqueline Hoàng Nguyễn,,,Lund University
5216,Agnes Lidbeck,,,Lund University
5217,Jan-Robert Eklind,,,Stockholm University
5218,Olof Santesson,,,Stockholm University
5219,Gunnar Lindqvist,,,Royal Institute of Technology
5220,Per Lindgren,,,Luleå University of Technology
5221,Pär Ågerfalk,,,Örebro University
5222,Elina Berglund,,,Lund University
5223,Olov Söderman,,,Royal Institute of Technology
5224,Catrin Fransson,,,Luleå University of Technology
5225,Robert J. Berman,,,Chalmers University of Technology
5226,Fariba Karimi,,,Umeå University
5227,Fariba Karimi,,,Lund University
5228,Jan Stjernswärd,,,Karolinska Institute
5229,Johan Dennelind,,,Örebro University
5230,Robert Hult,,,Chalmers University of Technology
5231,Kaj Nystrom,,,Umeå University
5232,Gunnel Cederlöf,,,Uppsala University
5233,Eva Lindh,,,University of Gothenburg
5234,Samuel Lampa,,,Uppsala University
5235,Ivo Stopner,,,Royal Institute of Technology
5236,Ulf Gad,,,Uppsala University
5237,Jonas Norrby,,,Royal Institute of Technology
5238,Nils Bååthe,,,Uppsala University
5239,Julia Lindemalm,,,Mid Sweden University
5240,Jakob Winther Forsbäck,,,University of Gothenburg
5241,Olov Blomkvist,,,Royal Institute of Technology
5242,Markus Sällman Almén,,,Linköping University
5243,Markus Sällman Almén,,,Uppsala University
5244,Håkan Sandberg,,,Uppsala University
5245,Akissa Bahri,,,Lund University
5246,Ove Sköllerholm,,,Lund University
5247,Gustav Nordlund,,,Stockholm University
5248,Gustav Nordlund,,,Lund University
5249,Timo Lassmann,,,Karolinska Institute
5250,Katarina Norén,,,Uppsala University
5251,Sven Widmalm,,,Linköping University
5252,Juha M. Alatalo,,,University of Gothenburg
5253,Lars Berglund,,,Uppsala University
5254,Emily Sonestedt,,,Stockholm University
5255,Emily Sonestedt,,,Lund University
5256,Thomas G. Dahlgren,,,University of Gothenburg
5257,Makiko Kumagai-Braesch,,,Karolinska Institute
5258,Henrik Nilsson,,,University of Gothenburg
5259,Oskar Hansson,,,Lund University
5260,Annakarin Nyberg,,,Umeå University
5261,Ludmila Prokunina-Olsson,,,Uppsala University
5262,David Lindsjö,,,Karolinska Institute
5263,Krister Wennerberg,,,Uppsala University
5264,Olof Hörberg,,,Royal Institute of Technology
5265,Susanna C. Larsson,,,Stockholm University
5266,Susanna C. Larsson,,,Karolinska Institute
5267,Mari Heidenborg,,,Stockholm University
5268,Nils Hjelm,,,Royal Institute of Technology
5269,Erik O. Wennerström,,,Uppsala University
5270,Najma Kousri,,,Lund University
5271,Karin Broberg,,,Lund University
5272,Lennart Nordgren,,,Royal Institute of Technology
5273,Vivi Vajda,,,Lund University
5274,Nasra Ali,,,Lund University
5275,Gunnar Tydén,,,Karolinska Institute
5276,Lina Ikse,,,University of Gothenburg
5277,Curt Fredén,,,University of Gothenburg
5278,Curt Fredén,,,Uppsala University
5279,Malcolm von Schantz,,,Lund University
5280,Raviteja Inturi,,,Uppsala University
5281,Ellen Larsson,,,University of Gothenburg
5282,Nils-Olof Jacobson,,,Karolinska Institute
5283,Björn Lindquist,,,Lund University
5284,Mats Ohlin,,,Royal Institute of Technology
5285,Olof Ängeby,,,Lund University
5286,Gunnar Ehrner,,,Stockholm University
5287,Ingemar Ulveson,,,Uppsala University
5288,Erik Hagbergh,,,Stockholm University
5289,Hugo Digman,,,Uppsala University
5290,Ingegerd Westlander,,,Stockholm University
5291,Jonas Ardö,,,Lund University
5292,Henrik Hagberg,,,University of Gothenburg
5293,Susanne Bejerot,,,Karolinska Institute
5294,Mats J. Olsson,,,Stockholm University
5295,Daniel Falkstedt,,,Karolinska Institute
5296,Tomas Hemmingsson,,,Karolinska Institute
5297,Adam A. Strömstedt,,,Uppsala University
5298,Ulf Göransson,,,Uppsala University
5299,Tianwei Gu,,,Karolinska Institute
5300,Lars Arvestad,,,Royal Institute of Technology
5301,Oscar Franzén,,,Karolinska Institute
5302,David S. Reiner,,,Karolinska Institute
5303,Anders Larsson,,,Uppsala University
5304,Henrik Larsson,,,Örebro University
5305,Andrii Dinets,,,Karolinska Institute
5306,Patrik K E Magnusson,,,Uppsala University
5307,Patrick Provost,,,Karolinska Institute
5308,Fredrik Bäckhed,,,Linköping University
5309,Fredrik Bäckhed,,,Karolinska Institute
5310,Rickard Sandberg,,,Karolinska Institute
5311,Elisabet Sjökvist,,,University of Gothenburg
5312,Ramunas Stepanauskas,,,Lund University
5313,Ramunas Stepanauskas,,,Uppsala University
5314,Örjan Carlborg,,,Swedish University of Agricultural Sciences
5315,Dan Hultmark,,,Stockholm University
5316,Dan Hultmark,,,University of Gothenburg
5317,Lasse Folkersen,,,Karolinska Institute
5318,Ci Song,,,Karolinska Institute
5319,Lili Milani,,,Uppsala University
5320,Peter Stenvinkel,,,Karolinska Institute
5321,Chengxuan Qiu,,,Karolinska Institute
5322,Bob Olsson,,,University of Gothenburg
5323,Guro Gafvelin,,,Stockholm University
5324,Guro Gafvelin,,,Karolinska Institute
5325,Lars Frelin,,,Karolinska Institute
5326,Pär K. Ingvarsson,,,Umeå University
5327,Anders Eklund,,,Umeå University
5328,Anders Eklund,,,Karolinska Institute
5329,Isabelle Dussauge,,,Royal Institute of Technology
5330,Fredrik Wärnberg,,,Uppsala University
5331,Fredrik Dalerum,,,Stockholm University
5332,Dr.Olatunde Aremu,,,Karolinska Institute
5333,Kathrin H Hopmann,,,Royal Institute of Technology
5334,Fredrik J Swartling,,,Uppsala University
5335,Sofia Stenler,,,Karolinska Institute
5336,Sofia Stenler,,,Uppsala University
5337,Arne Elofsson,,,Karolinska Institute
5338,Anne-Marie Boström,,,Karolinska Institute
5339,Karin Loré,,,Karolinska Institute
5340,Johan A. Stenberg,,,Umeå University
5341,Malin C Erlandsson,,,University of Gothenburg
5342,Shemin Lu,,,Lund University
5343,Annika Malmström,,,Linköping University
5344,Anna Gréen,,,Linköping University
5345,Ralf Kuja-Halkola,,,Karolinska Institute
5346,Ralf Kuja-Halkola,,,Uppsala University
5347,Marie Wahren-Herlenius,,,Karolinska Institute
5348,Jian Wu,,,Umeå University
5349,Volodymyr Trotsiuk,,,Swedish University of Agricultural Sciences
5350,Mikael Huss,,,Royal Institute of Technology
5351,Eskil Hellner,,,Stockholm University
5352,Carl Åbjörnsson,,,Lund University
5353,Erik Reuterswärd,,,Uppsala University
5354,Rolf Brehmer,,,Royal Institute of Technology
5355,Olov Hegrelius,,,Lund University
5356,Herman Palmgren,,,Uppsala University
5357,Per Emil Söderwall,,,Lund University
5358,Knut Söderwall,,,Lund University
5359,Nils Lorichs,,,Uppsala University
5360,Leif Lindstam,,,Stockholm University
5361,Gunnar Björne,,,Stockholm University
5362,Göran Wahlgren,,,Stockholm University
5363,Hilding Björne,,,Uppsala University
5364,Adolf Lundevall,,,Uppsala University
5365,Gösta Quensel,,,Stockholm University
5366,Sture Jarnerup,,,Lund University
5367,Kurt Holmgren,,,Stockholm University
5368,Hans-Fredrik Ringdén,,,Stockholm University
5369,Enar Eckerberg,,,Uppsala University
5370,Lars Lindmark,,,Uppsala University
5371,Ingrid Hilding,,,Stockholm University
5372,Regina Miftakhova,,,Lund University
5373,Sven Kjellström,,,Lund University
5374,Erik Green,,,Lund University
5375,Jan-Ingvar Jönsson,,,Lund University
5376,Johannes Hanson,,,Uppsala University
5377,Olof Beck,,,Royal Institute of Technology
5378,Morana Vitezic,,,Karolinska Institute
5379,Jan Albert,,,Karolinska Institute
5380,Mattias Carlsten,,,Karolinska Institute
5381,Anton Nilsson,,,Lund University
5382,Dan-Olof Rooth,,,Lund University
5383,Donald Gullberg,,,Uppsala University
5384,Jonas Eriksson,,,Uppsala University
5385,Walter Osika,,,Karolinska Institute
5386,Karl-Eric Magnusson,,,Linköping University
5387,Rebecka Hultgren,,,Karolinska Institute
5388,Stina M. Oredsson,,,Lund University
5389,Mattias Göthlin,,,University of Gothenburg
5390,Jing Tang,,,Lund University
5391,Tomas Bergström,,,University of Gothenburg
5392,Bengt Westermark,,,Uppsala University
5393,Yury O. Tsybin,,,Uppsala University
5394,Ninib Baryawno,,,Karolinska Institute
5395,Ann-Christine Albertsson,,,Royal Institute of Technology
5396,Andreas Rosenblad,,,Uppsala University
5397,Elham Jalalvand,,,Karolinska Institute
5398,Lars Forsberg,,,Karolinska Institute
5399,Gunnar Aronsson,,,Stockholm University
5400,Ola Söderberg,,,Uppsala University
5401,Danny van Noort,,,Linköping University
5402,Lars Brudin,,,Linköping University
5403,Alexander Nyström,,,Lund University
5404,Eva S Lindström,,,Uppsala University
5405,Italo Masiello,,,Karolinska Institute
5406,Magnus Karlsson,,,Swedish University of Agricultural Sciences
5407,Magnus Karlsson,,,Uppsala University
5408,Per Gustavsson,,,Karolinska Institute
5409,Aatto Laaksonen,,,Stockholm University
5410,Finn Rasmussen,,,Uppsala University
5411,Stefan Knapp,,,Karolinska Institute
5412,Mikael Sigvardsson,,,Lund University
5413,Lars Rönnegård,,,Swedish University of Agricultural Sciences
5414,Helene Norder,,,Karolinska Institute
5415,Johan Brink,,,Chalmers University of Technology
5416,Hans Törmä,,,Uppsala University
5417,Marianne Schultzberg,,,Karolinska Institute
5418,Anders Rosén,,,Karolinska Institute
5419,Hakan Olin,,,Chalmers University of Technology
5420,Johan Tham,,,Lund University
5421,Jonas Ranstam,,,Lund University
5422,Gerdt C Riise,,,University of Gothenburg
5423,Anders Hakansson,,,Lund University
5424,Anders Bremer,,,Linnaeus University
5425,Lars Ljungström,,,University of Gothenburg
5426,Sam Schulman,,,Karolinska Institute
5427,Mattias Aine,,,Lund University
5428,Christofer Leygraf,,,Royal Institute of Technology
5429,Zongli Zheng,,,Karolinska Institute
5430,Anders Lansner,,,Royal Institute of Technology
5431,Marcin J Skwark,,,Stockholm University
5432,Fredrik Allenmark,,,Chalmers University of Technology
5433,J Peter Svensson,,,Uppsala University
5434,Giuseppe Lazzara,,,Lund University
5435,Asmundur Oddsson,,,Karolinska Institute
5436,Per Wändell,,,Karolinska Institute
5437,Furqan A. Shah,,,University of Gothenburg
5438,Petra F Wolffs,,,Lund University
5439,Denis Soulet,,,Lund University
5440,Katarzyna Weintraub,,,Stockholm University
5441,Mohsen Khademi,,,Karolinska Institute
5442,Mattias Strand,,,Karolinska Institute
5443,Ewa C Ellis,,,Karolinska Institute
5444,Bengt Skoog,,,University of Gothenburg
5445,Åke Wahlin,,,Karolinska Institute
5446,David Gisselsson,,,Lund University
5447,Sandra Tamm,,,Karolinska Institute
5448,Eric Westman,,,Royal Institute of Technology
5449,Eric Westman,,,Karolinska Institute
5450,Muhammad Ahsan,,,Swedish University of Agricultural Sciences
5451,Amir Fallahshahroudi,,,Linköping University
5452,Juris Kiskis,,,Chalmers University of Technology
5453,Renny Mathew,,,Stockholm University
5454,Andrey V. Zavialov,,,Uppsala University
5455,Hadrien Gourlé,,,Swedish University of Agricultural Sciences
5456,Erik Gullberg,,,Uppsala University
5457,Siavash Maghsoudlou,,,Karolinska Institute
5458,Shahram Bahmanyar,,,Karolinska Institute
5459,Marika Berglund,,,Karolinska Institute
5460,Peter Mellroth,,,Stockholm University
5461,Jan O. Pralits,,,Luleå University of Technology
5462,Sabine Kröger,,,Stockholm University
5463,Anders Näsman,,,Karolinska Institute
5464,Abdul Rashid Qureshi,,,Karolinska Institute
5465,Katarina Lyberg,,,Swedish University of Agricultural Sciences
5466,Katarina Lyberg,,,Karolinska Institute
5467,Isabelle Magalhaes,,,Karolinska Institute
5468,Janet Myhre,,,Stockholm University
5469,Jöran Mueller,,,Stockholm University
5470,Stig Nordlund,,,Stockholm University
5471,Rolf Engblom,,,Stockholm University
5472,Bertil Voss,,,Stockholm University
5473,Benjamin Hon Kei Yip,,,Karolinska Institute
5474,Florens Luoga,,,Lund University
5475,Mari Palta,,,Lund University
5476,Ingeborg Krafft,,,Royal Institute of Technology
5477,Roger Gabrielsson,,,Linköping University
5478,Anna Karlsson,,,Karolinska Institute
5479,Jorge B. Aquino,,,Karolinska Institute
5480,Eva Sverremark-Ekström,,,Stockholm University
5481,Eva B. Brittebo,,,Uppsala University
5482,Cormac McGrath,,,Karolinska Institute
5483,Johanne Lykke Holm,,,University of Gothenburg
5484,Tomas Carlsson,,,Chalmers University of Technology
5485,Malin Bonthron,,,Uppsala University
5486,Gösta Dyrssen,,,Stockholm University
5487,Ingmar Lidbeck,,,Uppsala University
5488,Voldmar Körlof,,,Lund University
5489,Marianne Eliason,,,Lund University
5490,Jakob Grinbaum,,,Uppsala University
5491,Therez Olsson,,,Uppsala University
5492,Mikael Ekdahl,,,Lund University
5493,Lars Simonsson,,,Stockholm University
5494,Johan René,,,Lund University
5495,Anders Blomberg,,,Umeå University
5496,Anders Blomberg,,,Uppsala University
5497,Anders Sjöstedt,,,Umeå University
5498,Zafar Hussain Ibupoto,,,Linköping University
5499,Annette Sköld,,,Karolinska Institute
5500,Marie W. Lindholm,,,Uppsala University
5501,Tomas Tjus,,,University of Gothenburg
5502,Jessica M Lindvall,,,Karolinska Institute
5503,Carl Johan Franzén,,,Chalmers University of Technology
5504,David Silvermyr,,,Lund University
5505,Marian Novotny,,,Uppsala University
5506,Unnur Valdimarsdóttir,,,Karolinska Institute
5507,Niklas Ivarsson,,,Karolinska Institute
5508,Ingrid Mogren,,,Karolinska Institute
5509,Stefan Spulber,,,Karolinska Institute
5510,Erik Eliasson,,,Karolinska Institute
5511,Jiyuan Tu,,,Royal Institute of Technology
5512,Sven V. Larsson,,,Karolinska Institute
5513,Gösta Vestlund,,,Uppsala University
5514,Håkan Gustafsson,,,Lund University
5515,Johanna Havemann,,,Stockholm University
5516,Marie Nilsson,,,Karolinska Institute
5517,Malin Parmar,,,Lund University
5518,Anna Sarkadi,,,Uppsala University
5519,Tommy Nyberg,,,Stockholm University
5520,Stefan Thor,,,Umeå University
5521,Francesco Colucci,,,Umeå University
5522,Oleg Shupliakov,,,Karolinska Institute
5523,Ulrica Nilsson,,,Linköping University
5524,Linn Fagerberg,,,Uppsala University
5525,Sara Sandin,,,Stockholm University
5526,Sara Sandin,,,Karolinska Institute
5527,Therese Rehn,,,Swedish University of Agricultural Sciences
5528,Per Tynelius,,,Uppsala University
5529,Peter Hambäck,,,Umeå University
5530,Hongqi Xu,,,Lund University
5531,Cecilia Stålsby Lundborg,,,Karolinska Institute
5532,Cecilia Stålsby Lundborg,,,Uppsala University
5533,Maria Bondesson,,,Karolinska Institute
5534,Lars F. Berglund,,,Uppsala University
5535,Kent Sjöström,,,Lund University
5536,Anders Lanzén,,,Linköping University
5537,Gunnar Brinkmalm,,,Uppsala University
5538,Gerhard Fischer,,,University of Gothenburg
5539,Jenny Presto,,,Uppsala University
5540,Olle Eriksson,,,Uppsala University
5541,Qiaolin Deng,,,Karolinska Institute
5542,Johan Palmfeldt,,,Lund University
5543,Cesar Rodriguez,,,Karolinska Institute
5544,Johanna Sjöwall,,,Linköping University
5545,Kariem Ezzat,,,Stockholm University
5546,Christoffer Åberg,,,Lund University
5547,Aileen King,,,Uppsala University
5548,Lars A. Berglund,,,Luleå University of Technology
5549,Lars A. Berglund,,,Linköping University
5550,Anna Nilsson,,,Karolinska Institute
5551,Lars Naver,,,Karolinska Institute
5552,Pär Nordin,,,Umeå University
5553,Britt-marie Wilén,,,Chalmers University of Technology
5554,Johan Mölne,,,University of Gothenburg
5555,Elna-Marie Larsson,,,Lund University
5556,Michael D. B. Swedberg,,,Uppsala University
5557,Malin Jonsson Fagerlund,,,Karolinska Institute
5558,Lars Gustafsson,,,Uppsala University
5559,Zoltan Nagy,,,Karolinska Institute
5560,Daniel Svensson,,,Stockholm University
5561,Daniel Svensson,,,Lund University
5562,Morten Tange Olsen,,,Stockholm University
5563,Pernilla Eliasson,,,Linköping University
5564,Mats Eriksson,,,Karolinska Institute
5565,Peter Johansson,,,Lund University
5566,Sridhar Mandali,,,Stockholm University
5567,Tomas Bergström,,,Uppsala University
5568,Hans Garmo,,,Uppsala University
5569,Erik Wernersson,,,University of Gothenburg
5570,Huiling Mu,,,Lund University
5571,Oleg Mirzov,,,Lund University
5572,Karin Markenroth Bloch,,,Chalmers University of Technology
5573,Martin Lagging,,,Karolinska Institute
5574,Kent W. Nilsson,,,Uppsala University
5575,Erik Hemmingsson,,,Karolinska Institute
5576,Alexander Goncharov,,,Lund University
5577,Camilla Sjögren Björkegren,,,Stockholm University
5578,Sophie Erhardt,,,Karolinska Institute
5579,Peter Garvin,,,Linköping University
5580,David Andersson,,,Lund University
5581,Max Bell,,,Karolinska Institute
5582,Jiguo Yu,,,Umeå University
5583,Stergios Kechagias,,,Linköping University
5584,Gerard Bannenberg,,,Karolinska Institute
5585,Mathias Nilsson,,,Swedish University of Agricultural Sciences
5586,Elena Pavlova,,,Karolinska Institute
5587,Gunilla Lindström,,,Umeå University
5588,Gunnar Hägglund,,,Lund University
5589,Paul Gerdhem,,,Karolinska Institute
5590,Björn Kull,,,Karolinska Institute
5591,Björn Kull,,,Lund University
5592,Hitesh V Motwani,,,Stockholm University
5593,Hannele Tuominen,,,Swedish University of Agricultural Sciences
5594,Alia Humaid Al Qassimi,,,Lund University
5595,Georg Ericsson,,,Uppsala University
5596,Susanne Rappmann,,,Karlstad University
5597,Patrik Fazio,,,Karolinska Institute
5598,Hakon Leffler,,,University of Gothenburg
5599,Fernando Tavares,,,Umeå University
5600,Mikael Ejdebäck,,,University of Gothenburg
5601,Andrej Weintraub,,,Stockholm University
5602,Andrej Weintraub,,,Karolinska Institute
5603,Martin Lundqvist,,,Linköping University
5604,Johan Nilvebrant,,,Royal Institute of Technology
5605,Kristina Berglund,,,University of Gothenburg
5606,Åke Hörnell,,,Chalmers University of Technology
5607,Gabriel Riva,,,Karolinska Institute
5608,Staffan Rosenborg,,,Karolinska Institute
5609,Erik Lind,,,Lund University
5610,Andreas Kalckert,,,Karolinska Institute
5611,Gunilla Ajne,,,Karolinska Institute
5612,Maria Josefsson,,,Umeå University
5613,Sara Pudas,,,Umeå University
5614,Sara Pudas,,,Stockholm University
5615,Johannes Bjerva,,,Stockholm University
5616,Tobias Nordström,,,Karolinska Institute
5617,Jan Adolfsson,,,Karolinska Institute
5618,Ragnar Hultborn,,,University of Gothenburg
5619,Rolf Adolfsson,,,Umeå University
5620,Thomas Laurell,,,Lund University
5621,Jakob Makeléer,,,Uppsala University
5622,Birgitta Bergvall-Kåreborn,,,Luleå University of Technology
5623,Junwei Zhu,,,Lund University
5624,Maria Häll,,,Luleå University of Technology
5625,Carl Fredrik Hammarhielm,,,Uppsala University
5626,Christian Ståhl,,,Linköping University
5627,Sara Hallin,,,Swedish University of Agricultural Sciences
5628,Emma Hovén,,,Karolinska Institute
5629,Ann Hellström,,,University of Gothenburg
5630,Moataz Dowaidar,,,Stockholm University
5631,Ny Björn Gustafsson,,,Stockholm University
5632,Katarina Westling,,,Karolinska Institute
5633,AnnaSofia Mååg,,,University of Gothenburg
5634,Rachel Muheim,,,Lund University
5635,Marco Gallio,,,Karolinska Institute
5636,Claes Zettermarck,,,Stockholm University
5637,Anders Hultqvist,,,University of Gothenburg
5638,Michelle Wille,,,Linnaeus University
5639,Leif Friberg,,,Karolinska Institute
5640,Urban Lindgren,,,Umeå University
5641,Eva Forsgren,,,Swedish University of Agricultural Sciences
5642,Anders Løøv,,,Uppsala University
5643,Jan Carlson,,,Linköping University
5644,Gustaf Henrik Mannerheim,,,Uppsala University
5645,Bengt Zöller,,,Lund University
5646,Lena M Hansson,,,Karolinska Institute
5647,Mahmood Jeddi-Tehrani,,,Karolinska Institute
