,alumnus,place,country,university
205,Andreas Jäger,Sweden,Sweden,Uppsala University
206,Carl Gyllenborg,Storkyrkoförsamlingen,Sweden,Uppsala University
207,Christian Engström,Stockholm,Sweden,Stockholm University
208,Åsa Larsson,Uppsala,Sweden,Uppsala University
209,Karl August Nicander,Strängnäs domkyrkoförsamling,Sweden,Uppsala University
210,Pontus Hultén,Stockholm,Sweden,Stockholm University
211,Ingemar Hedenius,Stockholm,Sweden,Uppsala University
212,Åsa Westlund,Gislaved,Sweden,University of Gothenburg
213,Erika Lust,Stockholm,Sweden,Lund University
214,Åke Bonnier,Stockholm,Sweden,Uppsala University
215,Åsa Romson,Rönninge,Sweden,Stockholm University
216,Torsten Wiesel,Uppsala,Sweden,Karolinska Institute
217,Anna-Karin Kammerling,Malmö,Sweden,Mid Sweden University
218,Anna Ottosson,Östersund,Sweden,Mid Sweden University
219,Sofia Helin,Hovsta,Sweden,Lund University
220,Dagmar Lange,Västerås,Sweden,Stockholm University
221,Ella Lemhagen,Uppsala,Sweden,Stockholm University
222,Cecilia Lindqvist,Lund,Sweden,Stockholm University
223,Frans Gustaf Emanuel Walberg,Lund,Sweden,Lund University
224,Georg Theodor Chiewitz,Stockholm City,Sweden,Royal Institute of Technology
225,Sara Lidman,Missenträsk,Sweden,Uppsala University
226,Helena Bergman,Skövde,Sweden,Umeå University
227,Hjalmar Gullberg,Malmö,Sweden,Lund University
228,Laila Freivalds,Riga,Latvia,Uppsala University
229,Bárbara Dührkop Dührkop,Hanover,Germany,Uppsala University
230,Sune Bergström,Kungsholms parish,Sweden,Stockholm University
231,Bengt I. Samuelsson,Halmstad,Sweden,Stockholm University
232,Bengt I. Samuelsson,Halmstad,Sweden,Karolinska Institute
233,Bengt I. Samuelsson,Halmstad,Sweden,Lund University
234,Hans Blix,Uppsala,Sweden,Stockholm University
235,Hans Blix,Uppsala,Sweden,Uppsala University
236,Lena Adelsohn Liljeroth,Stockholm,Sweden,Stockholm University
