,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
2349,Barbro Stål,Rättvik,Sweden,Royal Institute of Technology
2350,John Fredholm,Stockholm,Sweden,Royal Institute of Technology
2351,Dag Detter,Malmö,Sweden,Lund University
2352,Christian Carlsson,Karlstad,Sweden,Stockholm University
2353,Gustaf Skog,Stockholm,Sweden,Royal Institute of Technology
2354,Karl Gustaf Sjöberg,Nederluleå parish,Sweden,Royal Institute of Technology
2355,Carl-Erik Olsson,Gothenburg,Sweden,Chalmers University of Technology
2356,Ivar Bjerström,Eksjö,Sweden,Chalmers University of Technology
2357,Wilhelm Julius Leche,Villie,Sweden,Lund University
2358,Göran Enander,Gällstad,Sweden,Umeå University
2359,Jan Rippe,Lyrestad,Sweden,Chalmers University of Technology
2360,Erik Stenfors,Djursholm,Sweden,Royal Institute of Technology
2361,Bengt Wallström,Ödsmåls församling,Sweden,Royal Institute of Technology
2362,Bengt Wallström,Ödsmåls församling,Sweden,Chalmers University of Technology
2363,Annika Hernroth-Rothstein,Stockholm,Sweden,Uppsala University
2364,Sven Lundkvist,Gagnef,Sweden,Uppsala University
2365,Magnus Böcker,Sweden,Sweden,Stockholm University
2366,Percy Elfstrand,Gävle Heliga Trefaldighets,Sweden,Uppsala University
2367,Hanna Öberg,Kiruna,Sweden,Mid Sweden University
2368,Kent Zetterberg,Katarina parish,Sweden,Stockholm University
2369,Andreas Lanærus,Lunds Cathedral Assembly,Sweden,Lund University
2370,Glenn Hægerstam,Jönköping,Sweden,Karolinska Institute
2371,Craig Primmer,Geelong,Australia,Swedish University of Agricultural Sciences
2372,Oana Bîzgan,Calafat,Romania,University of Gothenburg
2373,Gustaf Wathier Hamilton,Björkviks parish,Sweden,Uppsala University
2374,Göran Lambertz,Kisa,Sweden,Uppsala University
2375,Thomas Bodström,Uppsala,Sweden,Stockholm University
2376,Åke Gustafsson,Stockholm,Sweden,Lund University
2377,Jan-Erik Lane,Gothenburg,Sweden,Umeå University
2378,Jan Raneke,Vollsjö,Sweden,Lund University
2379,Jan Stenbeck,Engelbrekt,Sweden,Uppsala University
2380,Jarl Hjalmarson,Helsingborg,Sweden,Uppsala University
2381,Lars-Erik Lövdén,Malmö,Sweden,Lund University
2382,Leif Pagrotsky,Gothenburg,Sweden,University of Gothenburg
2383,Sun Axelsson,Oscar Fredriks församling,Sweden,Stockholm University
2384,Thomas Östros,Gällivare Municipality,Sweden,Uppsala University
2385,Clas Livijn,Skänninge,Sweden,Uppsala University
2386,Emil Kléen,Höörs församling,Sweden,Lund University
2387,Michèle Barbier,Algeria,France,University of Gothenburg
2388,Gudmund Jöran Adlerbeth,Jönköpings Kristina församling,Sweden,Uppsala University
2389,Omar Pérez Santiago,Santiago,Chile,Lund University
2390,Erik Lönnroth,Gothenburg,Sweden,University of Gothenburg
2391,Agneta Pleijel,Stockholm,Sweden,University of Gothenburg
2392,Anders Fredrik Skjöldebrand,Algiers,Algeria,Uppsala University
2393,Helge Thiis,Trondheim,Norway,Royal Institute of Technology
2394,Carl Axel Gottlund,Ruotsinpyhtää,Finland,Uppsala University
2395,Oscar Rosander,Eksjö,Sweden,Uppsala University
2396,Anders Linder,Solna Municipality,Sweden,Royal Institute of Technology
2397,Barbro Holmberg,Stensele,Sweden,Stockholm University
2398,Anders Ljungstedt,Linköping,Sweden,Uppsala University
2399,Ola Tunander,Stockholm,Sweden,Linköping University
2400,Urban Ahlin,Mariestad,Sweden,Karlstad University
2401,Kent Ekeroth,Malmö,Sweden,Lund University
2402,Ylva Johansson,Huddinge Municipality,Sweden,Lund University
2403,Mikaela Laurén,Stockholm,Sweden,Mid Sweden University
2404,Paul Saint-Pierre Plamondon,Trois-Rivières,Canada,Lund University
2405,Mikael Damberg,Bergshamra,Sweden,Stockholm University
2406,Matilda Ernkrans,Hallsberg Municipality,Sweden,Örebro University
2407,Eva Remaeus,Lund,Sweden,Lund University
2408,Göran Josuæ Adelcrantz,Stockholm,Sweden,Uppsala University
2409,Yngve Holmberg,Bromma parish,Sweden,Stockholm University
2410,Sverker Sörlin,Åsele,Sweden,Umeå University
2411,Theodor Wåhlin,Lund,Sweden,Chalmers University of Technology
2412,Anders Ygeman,Vantör,Sweden,Stockholm University
2413,Anders Ygeman,Hagsätra,Sweden,Stockholm University
2414,Mats Paulson,Linköping,Sweden,Stockholm University
2415,Sven Lindberg,Stockholm,Sweden,Stockholm University
2416,Erik Boheman,Stockholm,Sweden,Stockholm University
2417,Carin Mannheimer,Osby församling,Sweden,Lund University
2418,Olof Rydbeck,Danderyd  parish,Sweden,Uppsala University
2419,Edvard Evers,Uddevalla,Sweden,Lund University
2420,Elias Brenner,Isokyrö,Finland,Uppsala University
2421,Ulf Adelsohn,Stockholm,Sweden,Stockholm University
2422,Rudolf Emanuel Jacobsen,Oslo,Norway,Royal Institute of Technology
2423,Hans Christen Mamen,Asker,Norway,Uppsala University
2424,Gunnar Wetterberg,Malmö,Sweden,Lund University
2425,Linda Olsson,Stockholm,Sweden,Stockholm University
2426,Hans Dalborg,Säter,Sweden,Uppsala University
2427,Torbjörn Lodén,Nynäshamn,Sweden,Stockholm University
2428,Ragnar Svensson,Torslanda,Sweden,Chalmers University of Technology
2429,Henry Henne,Bergen,Norway,Stockholm University
2430,Ashk Dahlén,Stockholm,Sweden,Uppsala University
2431,Rudolf Abelin,Malmö,Sweden,Uppsala University
2432,Gustaf Hallström,Maria Magdalena parish,Sweden,Uppsala University
